,Country/Region,count
0,us,91360
1,canada,3375
2,england,1118
3,germany,588
4,france,324
5,netherlands,300
6,finland,255
7,switzerland,219
8,ireland,181
9,australia,162
10,china,105
11,israel,104
12,india,85
13,colombia,82
14,sweden,71
15,ethiopia,55
16,singapore,48
17,new zealand,47
18,united arab emirates,33
19,italy,29
20,mexico,28
21,south africa,27
22,denmark,21
23,spain,19
24,brazil,19
25,morocco,14
26,belgium,14
27,mongolia,12
28,portugal,11
29,chile,11
30,thailand,11
31,japan,10
32,norway,10
33,austria,9
34,pakistan,9
35,argentina,9
36,scotland,8
37,cyprus,8
38,hong kong,7
39,taiwan,7
40,jamaica,7
41,nigeria,7
42,turkey,7
43,costa rica,6
44,latvia,6
45,laos,5
46,saudi arabia,5
47,isle of man,5
48,indonesia,5
49,russia,5
50,serbia,4
51,bolivia,4
52,nederland,4
53,albania,4
54,ukraine,4
55,puerto rico,4
56,malaysia,4
57,cayman islands,3
58,kazakhstan,3
59,uruguay,3
60,mauritius,3
61,jersey,3
62,philippines,3
63,egypt,3
64,africa,2
65,korea  republic of,2
66,north macedonia,2
67,ontario  canada,2
68,bulgaria,2
69,panama,2
70,estonia,2
71,south korea,2
72,macao,2
73,holy see,2
74,peru,2
75,georgia,2
76,czech republic,2
77,moldova,2
78,tunisia,2
79,paraguay,2
80,dubai,2
81,monaco,2
82,cameroon,2
83,vietnam,2
84,el salvador,2
85,luxembourg,2
86,brasil,2
87,alberta  canada,1
88,malta,1
89,greece,1
90,poland,1
91,gabon,1
92,ghana,1
93,belarus,1
94,montenegro,1
95,columbia,1
96,unknown,1
97,croatia,1
98,dominican republic,1
99,macedonia,1
100,iraq,1
101,armenia,1
102,phillippines,1
103,saudia arabia,1
104,sri lanka,1
105,international,1
106,qatar,1
107,iceland,1
108,kenya,1
109,bosnia and herzegovina,1
110,can,1
111,namibia,1
112,lithuania,1
113,gambia,1
114,guatemala,1
115,rwanda,1
116,hungary,1
117,afghanistan,1
118,guernsey,1
119,iran,1
120,seychelles,1
121,lesotho,1
122,guyana,1
123,the netherlands,1
124,virgin islands  u s,1
125,algeria,1
126,haiti,1
127,zambia,1
