,State/Region,count
0,CA,21197
1,NY,4844
2,CO,4403
3,FL,3518
4,MA,3007
5,IL,2977
6,TX,2216
7,WA,1866
8,OH,1777
9,NJ,1739
10,MI,1639
11,AZ,1585
12,PA,1561
13,OR,1560
14,NV,1190
15,GA,907
16,MD,865
17,NC,853
18,TN,847
19,MN,832
20,Ontario,811
21,ON,772
22,VA,757
23,WI,708
24,CT,521
25,MO,465
26,KS,465
27,OK,400
28,IN,362
29,UT,314
30,California,297
31,British Columbia,295
32,ME,288
33,DC,268
34,ID,266
35,RI,263
36,DE,250
37,KY,240
38,AL,235
39,NH,230
40,BC,221
41,LA,210
42,Alberta,194
43,Quebec,190
44,NE,183
45,Niedersachsen,175
46,mi,174
47,Rheinland-Pfalz,158
48,SC,151
49,Victoria,150
50,Cavan,148
51,Auvergne-Rhône-Alpes,145
52,NM,140
53,IA,116
54,VT,114
55,QC,113
56,North Rhine-Westphalia,106
57,SP,103
58,in,94
59,HI,94
60,New York,90
61,AR,90
62,Lancashire,89
63,Dublin,87
64,Zuid-Holland,84
65,AB,71
66,Cambs,70
67,la,70
68,England,69
69,AK,68
70,MT,67
71,Gelderland,66
72,WY,65
73,me,63
74,MS,61
75,Colorado,60
76,il,60
77,"Toronto, Ontario",60
78,VIC,57
79,Guangdong,52
80,Florida,52
81,ga,51
82,Limburg,51
83,NSW,49
84,Ca,49
85,id,46
86,Massachusetts,44
87,Southern Finland,43
88,Bayern,41
89,ca,40
90,Illinois,37
91,PR,37
92,Prince Edward Island,36
93,Washington,33
94,ZH,32
95,WV,32
96,Texas,30
97,al,30
98,RJ,30
99,Ohio,29
100,mn,29
101,Calgary,29
102,North Carolina,28
103,SD,28
104,New Brunswick,27
105,QLD,26
106,tx,24
107,ND,24
108,wa,24
109,ct,24
110,Maryland,22
111,Arizona,21
112,Göteborg,19
113,Oregon,18
114,Saskatchewan,18
115,Nevada,18
116,Cundinamarca,16
117,Wisconsin,16
118,NT,16
119,Warwickshire,15
120,Virginia,15
121,Ottawa,15
122, -,15
123,Luzern,15
124,Noord-Brabant,14
125,North Holland,14
126,fl,13
127,Missouri,13
128,Île-de-France,13
129,Dubai,13
130,pa,13
131,South,12
132,MB,12
133,Georgia,12
134,In,11
135,Uusimaa,11
136,Connecticut,11
137,co,11
138,RS,11
139,CH,10
140,nj,10
141,New Mexico,10
142,QuÃ©bec,10
143,Utah,9
144,New South Wales,9
145,Minnesota,9
146,Wiltshire,9
147,ny,8
148,DF,8
149,Reggio Emilia,8
150,NS,8
151,Manitoba,8
152,District of Columbia,8
153,SA,8
154,Pennsylvania,7
155,md,7
156,az,7
157,"Toronto, Ontario, Canada",7
158,London,7
159,Michigan,7
160,Tennessee,7
161,Maharashtra,7
162,Québec,7
163,Al Qusais,7
164,GB,7
165,Telangana,7
166,ontario,7
167,Nova Scotia,7
168,or,6
169,Karnataka,6
170,Tokyo,6
171,HEB,6
172,Western Cape,6
173,Hawaii,6
174,New Jersey,5
175,Puerto Rico,5
176,Nicosia,5
177,Edinburgh,5
178,Wa,5
179,Rigas,5
180,Lincolnshire,5
181,Derby,5
182,Isle of Man,5
183,Gloucestershire,5
184,Bangkok,5
185,SG,5
186,Santiago,5
187,"Toronto, Ontario ",5
188,TO,4
189,Il,4
190,Cork,4
191,Matosinhos,4
192,Shanghai,4
193,Singapore,4
194,dc,4
195,TAS,4
196,NB,4
197,Hong Kong,4
198,MG,4
199,France,4
200,british columbia,4
201,Oklahoma,4
202,Bavaria,4
203,Gauteng,4
204,Nederland,4
205,"Ontario, Canada",4
206,"Vancouver, British Columbia",4
207,NL,4
208,Denmark,4
209,ACT,4
210,KARNATAKA,3
211,Surrey,3
212,"Calgary, Alberta",3
213,Jalisco,3
214,BA,3
215,108 S. Mill St,3
216,Zug,3
217,Uttar Pradesh,3
218,nv,3
219,Israel,3
220,Berlin,3
221,China,3
222,HEBEI,3
223,ma,3
224,oh,3
225,B.C,3
226,CN,3
227,Jersey,3
228,Newcastle upon Tyne,3
229,Please choose ...,3
230,Worcestershire,3
231,quebec,3
